BAIRRO,MARCA_OBJETO,DIA_SEMANA,PERIODO,IDADE,SEXO
TATUAPE,Apple,QUINTA,MANHA,43,HOMEM
VILA MARIANA,Apple,QUINTA,NOITE,54,HOMEM
PEDREIRA,Motorola,SEGUNDA,NOITE,40,MULHER
VILA PRUDENTE,Apple,QUARTA,TARDE,20,HOMEM
JARDIM JAPAO,Samsung,TERCA,NOITE,31,MULHER
JARDIM COLINA,Xiaomi,SEXTA,TARDE,48,MULHER
AGUA RASA,Apple,SABADO,NOITE,16,MULHER
RAPOSO TAVARES,Apple,DOMINGO,NOITE,16,HOMEM
BOM RETIRO,Motorola,DOMINGO,MANHA,23,HOMEM
VILA CURUCA VELHA,Motorola,QUARTA,MANHA,57,HOMEM
PARQUE INDEPENDENCIA,Samsung,QUARTA,NOITE,38,HOMEM
VILA NANCY,Samsung,SEGUNDA,MADRUGADA,29,MULHER
REPUBLICA,Apple,DOMINGO,TARDE,30,MULHER
JACANA,Apple,SEGUNDA,NOITE,20,MULHER
VILA MARIA,Apple,SEXTA,NOITE,42,HOMEM
REPUBLICA,Xiaomi,SABADO,NOITE,38,MULHER
PARQUE DO LAGO,Xiaomi,SEXTA,MANHA,55,HOMEM
SANTANA,Samsung,DOMINGO,NOITE,28,MULHER
SACOMA,Samsung,SEGUNDA,TARDE,31,HOMEM
BELA VISTA,Samsung,SABADO,NOITE,38,MULHER
CAPAO REDONDO,Apple,QUARTA,NOITE,22,MULHER
PERDIZES,Apple,QUINTA,NOITE,60,MULHER
JARDIM TABOAO,Motorola,QUINTA,NOITE,53,MULHER
JARDIM HELENA,Samsung,DOMINGO,MANHA,34,MULHER
VILA CLELIA,Motorola,SEXTA,NOITE,32,HOMEM
CAMPO LIMPO,Apple,SABADO,NOITE,65,HOMEM
SANTA CECILIA,Samsung,TERCA,TARDE,33,MULHER
CONSOLACAO,Apple,SEGUNDA,MANHA,35,MULHER
VARZEA DA BARRA FUNDA,Motorola,SEGUNDA,NOITE,43,MULHER
GUAIANASES,Samsung,QUARTA,NOITE,63,MULHER
TREMEMBE,LG,SEXTA,MANHA,22,MULHER
MOEMA,Apple,DOMINGO,MADRUGADA,40,HOMEM
VILA PIRITUBA,Apple,SABADO,NOITE,50,MULHER
BELA VISTA,Apple,DOMINGO,NOITE,29,HOMEM
JARAGUA,Apple,QUARTA,NOITE,33,MULHER
JARAGUA,LG,TERCA,MADRUGADA,77,HOMEM
SAO MATEUS,Samsung,TERCA,MANHA,18,HOMEM
SAPOPEMBA,Apple,TERCA,TARDE,51,HOMEM
CAPAO REDONDO,Samsung,TERCA,MADRUGADA,31,MULHER
GRAJAU,Samsung,QUINTA,NOITE,32,MULHER
CAPAO REDONDO,Xiaomi,SABADO,MANHA,47,HOMEM
SE,Xiaomi,SABADO,NOITE,23,HOMEM
ITAIM BIBI,Xiaomi,SEXTA,TARDE,43,MULHER
GRAJAU,Motorola,SABADO,TARDE,29,MULHER
REPUBLICA,Samsung,SEXTA,TARDE,61,HOMEM
JARDIM SAO PAULO,Samsung,DOMINGO,NOITE,48,MULHER
PARQUE GUAIANAZES,Huawei,QUINTA,MADRUGADA,42,HOMEM
TATUAPE,Xiaomi,QUINTA,NOITE,49,MULHER
VILA ANDRADE,Samsung,SABADO,NOITE,70,MULHER
BELEM,Apple,QUINTA,MANHA,16,HOMEM
VILA JACUI,Xiaomi,SEXTA,TARDE,29,MULHER
CIDADE TIRADENTES,Samsung,QUARTA,TARDE,45,HOMEM
IGUATEMI,Samsung,DOMINGO,MADRUGADA,29,MULHER
JARDIM PAULISTA,Apple,SABADO,NOITE,40,MULHER
IGUATEMI,Outros,SEXTA,TARDE,46,HOMEM
GUAIANASES,Motorola,SEXTA,TARDE,23,MULHER
VILA PRUDENTE,Samsung,SEXTA,NOITE,48,HOMEM
PARELHEIROS,Motorola,QUINTA,NOITE,78,MULHER
SE,Xiaomi,DOMINGO,TARDE,30,MULHER
AGUA RASA,Apple,SABADO,NOITE,53,HOMEM
JARDIM ROSA MARIA,Samsung,DOMINGO,NOITE,45,HOMEM
PINHEIROS,Apple,QUARTA,MADRUGADA,21,MULHER
MOOCA,Samsung,DOMINGO,MADRUGADA,36,MULHER
SACOMA,Motorola,DOMINGO,NOITE,38,MULHER
VILA MARIA,Outros,QUARTA,NOITE,20,MULHER
CONSOLACAO,Apple,SEXTA,NOITE,22,HOMEM
CAMPO LIMPO,Motorola,SEXTA,NOITE,42,HOMEM
CARRAO,Samsung,SEXTA,NOITE,29,HOMEM
JACANA,Samsung,SEGUNDA,NOITE,35,MULHER
SAUDE,Apple,SABADO,TARDE,58,MULHER
TREMEMBE,Motorola,SABADO,MADRUGADA,35,HOMEM
LIBERDADE,LG,DOMINGO,NOITE,18,MULHER
CASA VERDE,Motorola,SEXTA,NOITE,35,HOMEM
VILA SONIA,Samsung,SEXTA,NOITE,34,MULHER
CAMBUCI,Apple,SEGUNDA,NOITE,55,MULHER
SAO MATEUS,Motorola,SEGUNDA,MANHA,76,MULHER
VILA CURUCA,Motorola,SEGUNDA,NOITE,28,MULHER
CANGAIBA,Apple,TERCA,NOITE,54,MULHER
VILA MARIA,Motorola,QUARTA,NOITE,83,MULHER
JARDIM PEDRA BRANCA,Apple,SEXTA,MANHA,50,MULHER
JARDIM ANGELA,Apple,DOMINGO,MADRUGADA,20,HOMEM
VILA MARIANA,Samsung,QUINTA,MADRUGADA,20,HOMEM
PEDREIRA,Apple,SEGUNDA,NOITE,55,MULHER
LIBERDADE,Apple,QUARTA,TARDE,66,MULHER
VILA PRINCESA ISABEL,Xiaomi,QUARTA,TARDE,32,HOMEM
VILA ANDRADE,Apple,SEXTA,MANHA,44,MULHER
JARDIM PAULISTA,Apple,SEGUNDA,TARDE,38,HOMEM
VILA CHABILANDIA,Apple,SEXTA,MADRUGADA,47,MULHER
LUZ,Samsung,DOMINGO,NOITE,16,MULHER
CARRAO,Samsung,DOMINGO,NOITE,78,MULHER
REPUBLICA,Apple,SEGUNDA,MANHA,65,HOMEM
VILA DA SAUDE,Apple,SABADO,MANHA,29,HOMEM
PERUS,Xiaomi,QUINTA,MANHA,25,MULHER
ITAIM PAULISTA,Samsung,SABADO,MANHA,40,HOMEM
CIDADE ADEMAR,Nokia,SEXTA,TARDE,76,HOMEM
ARICANDUVA,Outros,QUARTA,TARDE,33,HOMEM
VILA MARIA,Samsung,QUINTA,TARDE,66,HOMEM
PARQUE CISPER,Motorola,DOMINGO,MANHA,22,MULHER
CURSINO,Apple,TERCA,NOITE,37,MULHER
CIDADE ADEMAR,Apple,TERCA,NOITE,41,MULHER
SANTA CECILIA,Apple,SEXTA,NOITE,47,HOMEM
PINHEIROS,Motorola,DOMINGO,MADRUGADA,29,HOMEM
BRAS,Apple,TERCA,TARDE,22,HOMEM
JARAGUA,Motorola,QUINTA,NOITE,49,MULHER
JARDIM COLINA,Samsung,TERCA,TARDE,83,MULHER
FREGUESIA DO O,Apple,SEGUNDA,NOITE,51,MULHER
CONSOLACAO,Apple,SEXTA,MADRUGADA,71,HOMEM
JARDIM FRATERNIDADE,Xiaomi,DOMINGO,NOITE,71,HOMEM
SE,Apple,DOMINGO,TARDE,55,HOMEM
SANTANA,Apple,DOMINGO,TARDE,21,HOMEM
RAPOSO TAVARES,Motorola,DOMINGO,NOITE,23,HOMEM
PEDREIRA,Apple,QUINTA,MANHA,21,HOMEM
MIRANDOPOLIS,Apple,SEGUNDA,TARDE,36,MULHER
VILA MARIANA,Apple,DOMINGO,MANHA,69,MULHER
ITAIM BIBI,ZTE,QUARTA,MANHA,48,MULHER
JARDIM ANGELA,Samsung,SABADO,MADRUGADA,26,MULHER
SE,Samsung,TERCA,TARDE,16,MULHER
VILA MARIETA,Samsung,TERCA,NOITE,28,HOMEM
REPUBLICA,Motorola,TERCA,TARDE,53,HOMEM
JARDIM CAMPO LIMPO (ZONA NORTE),Samsung,SEXTA,NOITE,23,HOMEM
JARDIM PAULISTA,Samsung,SEGUNDA,MANHA,54,HOMEM
SANTANA,Outros,SEXTA,MANHA,34,MULHER
JARDIM ANGELA,Motorola,QUINTA,NOITE,37,HOMEM
GRAJAU,Samsung,QUARTA,MADRUGADA,31,HOMEM
JARDIM SAO LUIS,Samsung,DOMINGO,MADRUGADA,19,MULHER
SAO MATEUS,Xiaomi,DOMINGO,NOITE,50,MULHER
JARDIM CAMBARA,Motorola,QUINTA,TARDE,26,MULHER
ITAIM PAULISTA,Outros,TERCA,MANHA,23,HOMEM
SANTANA,Samsung,SEGUNDA,NOITE,51,HOMEM
CHACARA SEIS DE OUTUBRO,Motorola,DOMINGO,NOITE,52,HOMEM
LIBERDADE,Samsung,SABADO,NOITE,51,MULHER
CAMPO GRANDE,Samsung,QUARTA,NOITE,43,HOMEM
CONJUNTO HABITACIONAL JUSCELINO KUBITSCHECK DE OLIVEIRA,Motorola,SEXTA,NOITE,61,HOMEM
CAMPO LIMPO,Motorola,SEXTA,NOITE,40,MULHER
SAO RAFAEL,Samsung,SEXTA,NOITE,19,HOMEM
REPUBLICA,Apple,SABADO,NOITE,25,HOMEM
BRAS,Motorola,SEGUNDA,MADRUGADA,30,HOMEM
REPUBLICA,Apple,QUINTA,NOITE,36,HOMEM
CAMPOS ELISEOS,Apple,QUARTA,MANHA,35,HOMEM
JABAQUARA,Samsung,SEXTA,TARDE,56,HOMEM
REPUBLICA,Samsung,QUARTA,NOITE,33,HOMEM
LIBERDADE,Apple,SABADO,NOITE,56,MULHER
VILA PRUDENTE,Samsung,SABADO,NOITE,46,MULHER
SAO LUCAS,Apple,QUARTA,TARDE,35,HOMEM
ITAIM PAULISTA,Samsung,TERCA,MANHA,47,MULHER
LIBERDADE,Apple,QUINTA,NOITE,23,MULHER
IPIRANGA,Apple,TERCA,NOITE,19,MULHER
PARI,Outros,DOMINGO,MANHA,19,HOMEM
CENTRO HISTORICO DE SAO PAULO,Outros,SEGUNDA,NOITE,20,MULHER
PLANALTO PAULISTA,Outros,QUARTA,NOITE,28,HOMEM
VILA VELHA,Motorola,DOMINGO,TARDE,49,HOMEM
JARDIM PAULISTA,Xiaomi,SEXTA,NOITE,52,HOMEM
BRASILANDIA,Motorola,QUARTA,TARDE,31,HOMEM
SE,Apple,DOMINGO,NOITE,55,MULHER
SAPOPEMBA,Outros,QUARTA,NOITE,22,MULHER
MANDAQUI,Motorola,DOMINGO,NOITE,28,HOMEM
JABAQUARA,LG,SEXTA,TARDE,19,HOMEM
QUINTA DA PAINEIRA,Samsung,SEGUNDA,TARDE,28,HOMEM
AMERICANOPOLIS,Samsung,QUARTA,MANHA,27,MULHER
CASA VERDE,Apple,SEXTA,NOITE,22,HOMEM
SAO LUCAS,Xiaomi,QUARTA,TARDE,48,HOMEM
MORUMBI,Apple,QUINTA,TARDE,32,HOMEM
BELEM,Apple,QUINTA,TARDE,19,MULHER
LIBERDADE,Apple,SEGUNDA,MANHA,15,HOMEM
CONSOLACAO,Outros,DOMINGO,MANHA,28,MULHER
GRAJAU,Samsung,SEXTA,NOITE,19,HOMEM
VILA ANDRADE,Apple,QUARTA,NOITE,54,HOMEM
PIRITUBA,LG,SEXTA,NOITE,25,MULHER
BUTANTA,Samsung,TERCA,NOITE,69,HOMEM
IPIRANGA,Outros,SEXTA,TARDE,41,MULHER
SACOMA,Xiaomi,DOMINGO,MADRUGADA,18,HOMEM
VILA CARMOSINA,LG,DOMINGO,MADRUGADA,50,MULHER
JARDIM ANGELA,Motorola,SEGUNDA,TARDE,52,MULHER
CHACARA DA ENSEADA,Motorola,SABADO,NOITE,83,HOMEM
JD SAO LUIS,Outros,SEXTA,TARDE,20,HOMEM
PONTE RASA,Motorola,QUINTA,TARDE,52,MULHER
JARDIM CASABLANCA,Apple,SEXTA,TARDE,19,MULHER
VILA NILO,Motorola,QUARTA,MADRUGADA,37,HOMEM
CONJUNTO HABITACIONAL JUSCELINO KUBITSCHEK,Samsung,SEXTA,TARDE,52,HOMEM
JD SAO LUIS,Motorola,QUINTA,MANHA,20,HOMEM
VILA GUILHERME,Xiaomi,DOMINGO,MANHA,32,MULHER
CENTRO HISTORICO DE SAO PAULO,Samsung,DOMINGO,TARDE,38,HOMEM
PENHA,Samsung,DOMINGO,TARDE,28,HOMEM
CAMPO BELO,Apple,SEGUNDA,MANHA,38,HOMEM
PEDREIRA,Motorola,QUINTA,MADRUGADA,22,MULHER
SACOMA,Motorola,QUARTA,TARDE,16,MULHER
CAPAO REDONDO,Samsung,DOMINGO,NOITE,68,HOMEM
REPUBLICA,Samsung,SEGUNDA,MANHA,80,HOMEM
BELA VISTA,Apple,TERCA,NOITE,25,MULHER
CONJUNTO HABITACIONAL JUSCELINO KUBITSCHECK DE OLIVEIRA,Samsung,SEXTA,NOITE,57,MULHER
SE,Apple,SABADO,TARDE,34,MULHER
LAJEADO,Samsung,DOMINGO,MANHA,57,MULHER
AGUA RASA,Apple,SABADO,MANHA,20,MULHER
BRAS,Motorola,SABADO,TARDE,21,MULHER
PEDREIRA,Motorola,QUARTA,NOITE,72,MULHER
REPUBLICA,Motorola,SEGUNDA,MANHA,35,HOMEM
CONSOLACAO,Apple,QUARTA,NOITE,41,HOMEM
ARICANDUVA,Samsung,QUINTA,NOITE,52,HOMEM
IPIRANGA,Motorola,SEGUNDA,MADRUGADA,76,HOMEM
SANTO AMARO,Apple,QUARTA,MANHA,15,MULHER
VILA CARMOSINA,Motorola,SEXTA,NOITE,45,HOMEM
ITAQUERA,Apple,TERCA,NOITE,36,HOMEM
CONSOLACAO,Apple,QUARTA,NOITE,32,HOMEM
TATUAPE,Apple,QUARTA,NOITE,38,MULHER
SANTA EFIGENIA,Samsung,SABADO,TARDE,23,HOMEM
SAO RAFAEL,Motorola,SEXTA,MANHA,37,MULHER
JACANA,Samsung,SABADO,TARDE,23,HOMEM
BARRA FUNDA,Apple,SEXTA,TARDE,62,HOMEM
VILA LAGEADO,Apple,SABADO,MADRUGADA,29,MULHER
PINHEIROS,Apple,DOMINGO,NOITE,62,HOMEM
GRAJAU,Motorola,QUINTA,MANHA,42,MULHER
CENTRO HISTORICO DE SAO PAULO,Samsung,SABADO,NOITE,32,MULHER
VILA MARIANA,Apple,QUINTA,NOITE,53,MULHER
MOOCA,Motorola,QUINTA,TARDE,41,MULHER
ITAIM PAULISTA,Positivo,SABADO,NOITE,38,MULHER
JARDIM RUBILENE,Apple,SEGUNDA,MANHA,16,HOMEM
JARDIM CLIPER,Nokia,QUINTA,TARDE,57,MULHER
VILA DIVA (ZONA LESTE),Samsung,SEGUNDA,TARDE,16,HOMEM
JD SAO LUIS,Apple,QUINTA,NOITE,26,MULHER
JARDIM ANGELA,Motorola,TERCA,NOITE,18,MULHER
PENHA,Xiaomi,SABADO,NOITE,32,MULHER
VILA CHUCA,Motorola,QUINTA,MANHA,36,HOMEM
BRAS,Apple,TERCA,TARDE,77,HOMEM
SAO DOMINGOS,Samsung,QUINTA,TARDE,49,MULHER
VILA MARIANA,Samsung,QUARTA,NOITE,22,HOMEM
ITAIM PAULISTA,Apple,QUINTA,NOITE,30,HOMEM
VILA MARIANA,Motorola,QUINTA,NOITE,18,HOMEM
CIDADE TIRADENTES,Apple,TERCA,NOITE,21,HOMEM
SE,Apple,SABADO,NOITE,27,HOMEM
CONSOLACAO,Apple,SEXTA,TARDE,19,MULHER
PARELHEIROS,Apple,QUINTA,TARDE,23,MULHER
SACOMA,Apple,QUARTA,NOITE,48,HOMEM
GRAJAU,Apple,SEGUNDA,TARDE,72,MULHER
CAPAO REDONDO,Apple,SABADO,NOITE,27,HOMEM
JARDIM CASTELO,Xiaomi,DOMINGO,MANHA,29,MULHER
CONSOLACAO,Apple,QUINTA,MADRUGADA,53,MULHER
PERUS,Samsung,SEXTA,MADRUGADA,38,MULHER
CASA VERDE,Apple,QUINTA,NOITE,42,MULHER
BELA VISTA,Apple,SABADO,NOITE,55,MULHER
BELA VISTA,Samsung,SEXTA,NOITE,31,HOMEM
BELA VISTA,Apple,DOMINGO,MADRUGADA,33,MULHER
BELA VISTA,Samsung,TERCA,TARDE,68,HOMEM
IGUATEMI,LG,SEGUNDA,MANHA,19,MULHER
REPUBLICA,Samsung,SABADO,NOITE,25,HOMEM
CIDADE TIRADENTES,Samsung,SEGUNDA,TARDE,35,MULHER
VILA JACUI,Xiaomi,DOMINGO,MANHA,23,HOMEM
VILA MARIANA,Apple,SABADO,NOITE,42,HOMEM
RIO PEQUENO,Motorola,SABADO,NOITE,73,MULHER
VILA MARARI,Samsung,QUARTA,TARDE,51,HOMEM
CONSOLACAO,Samsung,DOMINGO,MADRUGADA,57,MULHER
PARQUE NOVO MUNDO,Outros,TERCA,TARDE,57,HOMEM
VILA INDEPENDENCIA,Apple,SEXTA,NOITE,49,MULHER
CACHOEIRINHA,Samsung,SEXTA,NOITE,44,HOMEM
CAPAO REDONDO,LG,QUARTA,NOITE,36,HOMEM
BRAS,Motorola,TERCA,TARDE,49,HOMEM
IPIRANGA,Apple,SEXTA,NOITE,26,HOMEM
FREGUESIA DO O,Xiaomi,SEGUNDA,MANHA,34,MULHER
PARQUE GUAIANAZES,Apple,SEGUNDA,NOITE,25,HOMEM
SAUDE,Samsung,SEXTA,NOITE,21,HOMEM
VILA PREL,Samsung,SABADO,MADRUGADA,23,MULHER
CAMPO LIMPO,Apple,QUARTA,NOITE,44,MULHER
VILA MATILDE,Apple,QUINTA,TARDE,40,MULHER
SANTO AMARO,Apple,DOMINGO,MADRUGADA,57,HOMEM
PINHEIROS,Apple,TERCA,TARDE,18,HOMEM
JARDIM PAULISTA,Apple,DOMINGO,NOITE,22,HOMEM
CAMBUCI,Apple,SEXTA,NOITE,37,HOMEM
CENTRO,Samsung,SEGUNDA,MANHA,21,MULHER
VILA PREL,Samsung,QUINTA,MANHA,30,MULHER
CENTRO HISTORICO DE SAO PAULO,Apple,SEXTA,MADRUGADA,45,MULHER
MANDAQUI,Motorola,SEGUNDA,TARDE,50,MULHER
SAO RAFAEL,Samsung,QUINTA,TARDE,35,MULHER
SAO MIGUEL,Samsung,QUINTA,MADRUGADA,30,MULHER
ARTUR ALVIM,Motorola,SEGUNDA,NOITE,55,MULHER
JARDIM AMALIA,Apple,QUINTA,MANHA,28,HOMEM
SE,Apple,SEGUNDA,MANHA,20,MULHER
SANTO AMARO,Samsung,SABADO,TARDE,16,HOMEM
VILA SANTA CATARINA,Samsung,SABADO,TARDE,44,HOMEM
SANTA CECILIA,Outros,QUINTA,NOITE,57,MULHER
BELA VISTA,Motorola,DOMINGO,TARDE,34,HOMEM
PARQUE FONGARO,Samsung,SEGUNDA,NOITE,29,HOMEM
CAPAO REDONDO,Motorola,SEGUNDA,MADRUGADA,15,MULHER
REPUBLICA,Xiaomi,SABADO,MADRUGADA,38,MULHER
FREGUESIA DO O,Motorola,QUINTA,NOITE,21,MULHER
CAMPO LIMPO,Samsung,DOMINGO,TARDE,40,HOMEM
CIDADE DUTRA,Apple,TERCA,NOITE,29,MULHER
JABAQUARA,Motorola,SEGUNDA,NOITE,26,HOMEM
ACLIMACAO,Huawei,QUINTA,NOITE,35,HOMEM
TUCURUVI,Samsung,QUINTA,TARDE,44,MULHER
SANTA CECILIA,Outros,SABADO,TARDE,40,HOMEM
PEDREIRA,Samsung,SEXTA,NOITE,33,HOMEM
VILA MEDEIROS,Samsung,SABADO,NOITE,71,HOMEM
SANTA CECILIA,Samsung,QUINTA,NOITE,19,MULHER
REPUBLICA,Apple,QUARTA,NOITE,22,MULHER
SANTANA,Xiaomi,QUINTA,MANHA,55,HOMEM
GRAJAU,Motorola,SEXTA,TARDE,20,MULHER
CENTRO HISTORICO DE SAO PAULO,Outros,QUARTA,MANHA,37,MULHER
VILA LEOPOLDINA,Xiaomi,DOMINGO,NOITE,41,HOMEM
SANTO AMARO,Apple,DOMINGO,MADRUGADA,34,MULHER
IPIRANGA,Xiaomi,QUARTA,NOITE,26,HOMEM
SAO RAFAEL,Motorola,SABADO,MADRUGADA,73,HOMEM
PARI,Apple,QUINTA,NOITE,26,MULHER
MIRANDOPOLIS,Motorola,TERCA,TARDE,30,MULHER
VILA PRINCESA ISABEL,Motorola,QUINTA,MADRUGADA,38,HOMEM
SACOMA,Motorola,QUARTA,NOITE,19,HOMEM
IPIRANGA,Xiaomi,SABADO,NOITE,25,HOMEM
TATUAPE,Samsung,SEXTA,NOITE,51,MULHER
AGUA BRANCA,Apple,QUARTA,NOITE,16,HOMEM
CHACARA TRES MENINAS,Outros,SEGUNDA,TARDE,68,HOMEM
CANINDE,Apple,SABADO,MADRUGADA,49,MULHER
ITAIM PAULISTA,Samsung,SEGUNDA,NOITE,58,MULHER
SAPOPEMBA,Motorola,TERCA,MADRUGADA,60,HOMEM
CANINDE,Xiaomi,SABADO,NOITE,30,HOMEM
SACOMA,Samsung,SABADO,MADRUGADA,37,MULHER
CIDADE DUTRA,Apple,QUARTA,TARDE,49,MULHER
VILA MARIANA,Xiaomi,SABADO,NOITE,25,MULHER
SANTO AMARO,Motorola,SABADO,MADRUGADA,32,MULHER
VILA SOUZA,Motorola,TERCA,NOITE,69,MULHER
JD SAO LUIS,Xiaomi,QUINTA,NOITE,43,HOMEM
VILA BUARQUE,Samsung,DOMINGO,TARDE,40,HOMEM
CAMBUCI,Motorola,SABADO,NOITE,71,HOMEM
CONSOLACAO,Apple,SABADO,MADRUGADA,42,HOMEM
PINHEIROS,Samsung,DOMINGO,TARDE,54,HOMEM
ITAIM BIBI,Apple,SEXTA,NOITE,45,HOMEM
ITAIM BIBI,Apple,SABADO,TARDE,28,MULHER
ITAIM BIBI,Samsung,SEGUNDA,NOITE,49,HOMEM
JARDIM RICARDO,Motorola,SEGUNDA,NOITE,34,HOMEM
IPIRANGA,Apple,SEXTA,TARDE,50,MULHER
CAPAO REDONDO,Samsung,TERCA,TARDE,78,HOMEM
JARDIM PAULISTA,Apple,DOMINGO,TARDE,34,HOMEM
SANTANA,Apple,QUINTA,NOITE,34,HOMEM
VILA MARIANA,LG,SEXTA,TARDE,47,HOMEM
IPIRANGA,Apple,QUARTA,TARDE,18,HOMEM
VILA FORMOSA,Apple,SABADO,NOITE,56,MULHER
JARDIM PAULISTANO,Apple,SEXTA,TARDE,35,MULHER
GRAJAU,Samsung,SABADO,MANHA,37,MULHER
SAO LUCAS,Motorola,QUARTA,NOITE,43,HOMEM
SANTO AMARO,Samsung,SEXTA,MANHA,30,HOMEM
SAO MATEUS,Samsung,SEXTA,NOITE,54,MULHER
SE,Samsung,QUARTA,MANHA,38,MULHER
JARDIM ANGELA,Samsung,QUINTA,MADRUGADA,30,HOMEM
JARAGUA,Motorola,QUARTA,TARDE,20,HOMEM
JARDIM COLINA,Motorola,SABADO,NOITE,33,MULHER
MOOCA,Apple,SEXTA,NOITE,19,HOMEM
SE,Outros,SABADO,TARDE,19,MULHER
CAMPO LIMPO,Motorola,DOMINGO,MADRUGADA,23,MULHER
VILA GUILHERME,Samsung,SEGUNDA,NOITE,26,MULHER
SAUDE,Samsung,SABADO,MANHA,22,HOMEM
JARDIM ANDARAI,Samsung,DOMINGO,MANHA,51,MULHER
PARI,Motorola,DOMINGO,TARDE,42,MULHER
JARDIM PAULISTA,Outros,QUARTA,NOITE,33,MULHER
CIDADE ADEMAR,LG,SEGUNDA,MANHA,47,MULHER
PINHEIROS,Apple,SABADO,NOITE,80,HOMEM
REPUBLICA,Apple,QUINTA,NOITE,32,MULHER
PINHEIROS,Apple,SEGUNDA,MANHA,83,MULHER
CAPAO REDONDO,Apple,QUINTA,NOITE,29,MULHER
SAUDE,Apple,QUARTA,TARDE,36,MULHER
CAPAO REDONDO,Motorola,SABADO,NOITE,25,MULHER
BARRA FUNDA,Samsung,QUINTA,NOITE,20,MULHER
JARDIM PROMISSAO,Samsung,DOMINGO,NOITE,37,MULHER
SACOMA,Samsung,SEGUNDA,MANHA,15,HOMEM
GUAIANASES,Samsung,DOMINGO,MADRUGADA,49,MULHER
ITAIM BIBI,Apple,QUARTA,MANHA,34,HOMEM
LIBERDADE,Apple,QUARTA,TARDE,32,HOMEM
VILA CORDEIRO,Motorola,SABADO,MADRUGADA,44,HOMEM
CAMPO LIMPO,Motorola,SEGUNDA,MADRUGADA,18,HOMEM
SE,Motorola,DOMINGO,TARDE,30,MULHER
IPIRANGA,Apple,SABADO,NOITE,18,HOMEM
IPIRANGA,Apple,QUINTA,NOITE,33,MULHER
CAMBUCI,Apple,SABADO,MANHA,22,HOMEM
JD SAO LUIS,Samsung,TERCA,MADRUGADA,44,HOMEM
PINHEIROS,Motorola,SEXTA,TARDE,69,MULHER
MOOCA,Motorola,TERCA,MANHA,18,HOMEM
IGUATEMI,Motorola,SEXTA,MADRUGADA,58,HOMEM
TATUAPE,Apple,SEXTA,NOITE,76,MULHER
SE,Apple,TERCA,MANHA,44,HOMEM
PARQUE EDU CHAVES,Motorola,DOMINGO,MANHA,69,MULHER
PARQUE RESIDENCIAL DA LAPA,Motorola,QUINTA,TARDE,46,MULHER
JARDIM ANGELA,Samsung,QUARTA,NOITE,18,MULHER
SACOMA,Samsung,DOMINGO,MANHA,30,HOMEM
JARDIM IBITIRAMA,Outros,QUARTA,TARDE,50,HOMEM
PARQUE DO LAGO,Apple,SABADO,NOITE,32,MULHER
PINHEIROS,Samsung,SEXTA,MADRUGADA,25,HOMEM
JARDIM HELENA,Apple,SABADO,NOITE,46,HOMEM
GUAIANASES,Samsung,SEXTA,NOITE,48,MULHER
REPUBLICA,Samsung,SABADO,NOITE,55,HOMEM
VILA JACUI,Samsung,SEXTA,MADRUGADA,34,MULHER
BARRA FUNDA,Samsung,TERCA,NOITE,35,HOMEM
REPUBLICA,Apple,SEGUNDA,MANHA,44,MULHER
PERDIZES,Apple,SABADO,TARDE,31,HOMEM
PENHA,Apple,QUINTA,NOITE,20,MULHER
VILA ANDRADE,Samsung,SABADO,NOITE,20,HOMEM
BELA VISTA,Apple,QUINTA,NOITE,20,MULHER
CAPAO REDONDO,Samsung,TERCA,TARDE,45,MULHER
GRAJAU,Motorola,QUINTA,TARDE,20,HOMEM
SANTO AMARO,Asus,QUARTA,NOITE,34,HOMEM
LIBERDADE,Apple,TERCA,TARDE,26,MULHER
CAMPO LIMPO,Apple,SABADO,NOITE,35,HOMEM
SANTANA,Outros,SABADO,MANHA,73,HOMEM
ITAIM BIBI,Outros,SABADO,TARDE,26,HOMEM
JARDIM EUROPA,Apple,TERCA,NOITE,44,MULHER
JABAQUARA,Apple,TERCA,MANHA,62,MULHER
ITAIM BIBI,Apple,TERCA,NOITE,58,MULHER
PARQUE SAO RAFAEL,Samsung,SEXTA,NOITE,22,HOMEM
BARRA FUNDA,Samsung,SEGUNDA,MADRUGADA,80,MULHER
ARICANDUVA,Motorola,QUINTA,NOITE,15,MULHER
ITAQUERA,Apple,QUARTA,NOITE,51,MULHER
VILA ANDRADE,Xiaomi,SABADO,NOITE,30,MULHER
JARDIM BRASIL (ZONA NORTE),Apple,QUARTA,TARDE,41,MULHER
BELA VISTA,Apple,SABADO,NOITE,30,MULHER
SANTA CECILIA,Samsung,QUINTA,TARDE,84,HOMEM
SANTANA,Motorola,DOMINGO,TARDE,20,HOMEM
PINHEIROS,Apple,SABADO,NOITE,53,MULHER
SANTANA,Samsung,TERCA,TARDE,58,MULHER
JARDIM ANGELA,Motorola,SEGUNDA,NOITE,40,HOMEM
IPIRANGA,Apple,SABADO,NOITE,16,HOMEM
SANTO AMARO,LG,SABADO,NOITE,26,HOMEM
PENHA,Motorola,SEGUNDA,MADRUGADA,51,MULHER
CIDADE ADEMAR,Apple,TERCA,TARDE,51,MULHER
JOSE BONIFACIO,Samsung,DOMINGO,TARDE,33,HOMEM
PARQUE DO CARMO,Samsung,SABADO,NOITE,48,HOMEM
VILA CALIFORNIA,Samsung,QUARTA,TARDE,56,MULHER
